Id,Label,timeset,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Weighted Degree,modularity_class,eigencentrality
"흰색",흰색,,114,2,0.598958,0.665217,71.622014,366,1,0.416387
10월,10월,,92,2,0.576923,0.633333,41.82844,318,0,0.345208
"감사하다",감사하다,,134,2,0.620504,0.694203,98.838234,440,1,0.49527
"물질",물질,,78,2,0.563725,0.613043,20.301401,216,1,0.307431
"피다",피다,,99,2,0.583756,0.643478,55.778528,342,0,0.371695
"많아지다",많아지다,,73,2,0.559157,0.605797,21.28274,410,2,0.291365
25일,25일,,111,2,0.595855,0.66087,57.573101,382,0,0.425716
"덩어리",덩어리,,101,2,0.585739,0.646377,44.907357,364,1,0.394838
2년,2년,,124,2,0.609541,0.67971,98.102224,372,0,0.437221
"나요",나요,,107,2,0.591767,0.655072,56.976089,294,1,0.403239
"액체",액체,,78,2,0.563725,0.613043,23.686623,250,1,0.314241
"신고",신고,,108,2,0.592784,0.656522,43.87981,312,1,0.430274
"뭍",뭍,,78,2,0.563725,0.613043,22.64344,240,1,0.30155
"오",오,,100,2,0.584746,0.644928,39.747138,288,1,0.388679
"딱",딱,,97,2,0.581788,0.64058,30.874967,278,0,0.392177
"섞이다",섞이다,,72,2,0.558252,0.604348,19.73852,212,0,0.294158
"컵",컵,,93,2,0.577889,0.634783,41.425373,294,0,0.356897
"수련",수련,,40,2,0.530769,0.557971,4.330465,124,0,0.179024
"얼굴",얼굴,,31,2,0.52352,0.544928,2.512726,64,1,0.121532
"오늘이",오늘이,,143,2,0.630713,0.707246,126.504995,494,0,0.517989
"된거",된거,,108,2,0.592784,0.656522,55.100109,320,1,0.416416
"수도",수도,,105,2,0.589744,0.652174,53.838374,288,1,0.402489
"이면",이면,,119,2,0.604203,0.672464,63.014111,338,1,0.457609
"아깝다",아깝다,,103,2,0.587734,0.649275,37.681922,280,0,0.411605
"평균",평균,,111,2,0.595855,0.66087,59.928675,308,1,0.420818
"색깔",색깔,,119,2,0.604203,0.672464,53.909207,372,1,0.462618
"언",언,,110,2,0.594828,0.65942,54.752174,356,1,0.418982
...?,...?,,89,2,0.574043,0.628986,24.605555,268,1,0.363973
"양은",양은,,70,2,0.556452,0.601449,16.063368,236,0,0.291748
4일,4일,,82,2,0.567434,0.618841,16.718175,268,0,0.345302
7일,7일,,106,2,0.590753,0.653623,53.80652,324,0,0.392786
"자고",자고,,99,2,0.583756,0.643478,48.671224,296,0,0.376929
"노랑",노랑,,92,2,0.576923,0.633333,37.137258,304,1,0.350957
11월,11월,,112,2,0.596886,0.662319,58.593804,328,0,0.427784
"액",액,,63,2,0.550239,0.591304,10.665799,162,1,0.26076
"찾아보다",찾아보다,,114,2,0.598958,0.665217,50.384238,326,1,0.445041
10일,10일,,97,2,0.581788,0.64058,40.527642,284,0,0.375528
"놀다",놀다,,95,2,0.579832,0.637681,45.148345,276,0,0.360629
"덥다",덥다,,103,2,0.587734,0.649275,33.968919,290,1,0.408506
"무언가",무언가,,69,2,0.555556,0.6,16.677248,236,1,0.271606
"건지다",건지다,,98,2,0.58277,0.642029,29.769755,324,0,0.396761
8일,8일,,110,2,0.594828,0.65942,60.780765,300,0,0.405446
"매일",매일,,91,2,0.57596,0.631884,28.449171,264,0,0.370612
2019년,2019년,,82,2,0.567434,0.618841,25.077564,226,0,0.323325
"분들",분들,,124,2,0.609541,0.67971,54.730181,388,1,0.485486
"이라서",이라서,,99,2,0.583756,0.643478,56.250907,270,0,0.355963
"말씀드리다",말씀드리다,,101,2,0.585739,0.646377,49.007557,306,1,0.379413
"희다",희다,,74,2,0.560065,0.607246,17.633677,216,1,0.298239
"급하다",급하다,,72,2,0.558252,0.604348,25.450184,182,0,0.275939
"사진",사진,,69,2,0.555556,0.6,14.489575,180,0,0.277738
"당황",당황,,75,2,0.560976,0.608696,22.339959,198,1,0.300576
"째다",째다,,90,2,0.575,0.630435,34.920161,296,0,0.34762
"어쩌",어쩌,,72,2,0.558252,0.604348,16.973996,228,1,0.301524
"긁다",긁다,,75,2,0.560976,0.608696,20.089275,176,0,0.292291
"식",식,,67,2,0.553772,0.597101,10.941632,192,0,0.291509
"굳다",굳다,,67,2,0.553772,0.597101,14.956192,188,1,0.266053
"두다",두다,,95,2,0.579832,0.637681,27.571211,258,0,0.379905
"여기",여기,,70,2,0.556452,0.601449,19.296779,188,0,0.280559
18일,18일,,95,2,0.579832,0.637681,40.313274,234,0,0.355271
"착용",착용,,64,2,0.551118,0.592754,12.508712,194,1,0.273268
"겨울",겨울,,63,2,0.550239,0.591304,16.845438,178,1,0.246045
"사다",사다,,62,2,0.549363,0.589855,12.708242,190,0,0.256735
"끝",끝,,76,2,0.561889,0.610145,17.926085,218,1,0.313672
"달이",달이,,84,2,0.569307,0.621739,26.863045,244,0,0.334462
"년도",년도,,72,2,0.558252,0.604348,18.293263,208,0,0.292041
"상처",상처,,57,2,0.545024,0.582609,15.116011,144,1,0.215394
"주위",주위,,73,2,0.559157,0.605797,16.104858,192,1,0.296484
"듯",듯,,55,2,0.543307,0.57971,9.457207,146,1,0.221741
;;,;;,,90,2,0.575,0.630435,39.295959,252,1,0.344483
